"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV2968" 2 3 0 0 0 1 1 0 1 0 2 1 3 1 1 2 2 2 0 3 0 4 0 1 1 0 1 0 0 0 3 0 2 0 2 0
"ASV2974" 0 1 1 3 1 1 1 0 0 1 0 0 5 3.5 1 4 5 7 7 7 5 7 2 3 2 3 2 4 2 1 1 3 4 7 1 4
"ASV2975" 2 1 0 1 0 4 0 1 0 4 1 1 1 3 0 1 1 4 0 1 1 3 1 0 4 3 1 0 1 2 0 1 0 2 0 0
"ASV2978" 5 3 0 0 2 1 1 2 6 0 2 1 0 1 0 0 1 0 0 0 0 1 3 0 0 0 0 0 3 0 1 0 0 1 1 0
"ASV2981" 1 0 0 0 0 0 0 0 0 1 1 0.5 0 3 3 1 3 1 0 2 4 1 3 0 0 0 0 0 0 0 0 0 0 0 1 1
"ASV2986" 6 3 50 3 0 0 1 1 0 0 4 1 1 0 0 0 1 0 2 0 0 0.5 0 0 1 1 0 0 1 1 1 6 0 0 2 0
"ASV2987" 3 1 0 0 1 1 0 0 1 0 0 0 3 3 0 0 3 1 1 0 9 1 7 0 1 0 0 0 0 1 0 0 0 2 0 0
"ASV2989" 2 0 3 0 1 5 0 1 0 4 1 1 26 29 35 24.5 29 18 29 22 16 13 20 26 19 11 57 21 15 12 26 26 28 21 22 12.5
"ASV2990" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 1 0 5 0 0 4 4 0 1
"ASV2994" 2 1 3 1 3 5 4 5 2 2 0 3 1 0 0 2 2 1 2 0 0 0 0 1 0 0 1 2 5 1 0 1 0 0 2 0
"ASV2995" 1 2 2 1 1 0 1 2 0 0 2 2 5 1 3 2 1 5 1 1 0 3 0 3 0 2 0 1 1 0 0 8 3 0 2 5
"ASV2998" 0 3 0 0 4 0 1 0 1 1 1 1 0 2 1 2 1 1 3 0 0.5 1 3 2 0 0 0 1 2 0 0 2 1 0 1 1
"ASV3000" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 3 0 1 3 1 1 1 4
