"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1075" 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0
"ASV1078" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 4 0 49
"ASV1081" 9 0 0 9 0 0 0 3 27 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 12
"ASV1083" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1099" 3 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 9 26 8 0 0 0 0 0 8 0 0 0 0 0 0 0
"ASV1100" 0 0 0 0 1 0 0 0 0 0 0 0 14 0 0 10 0 0 0 0 12 0 0 12 0 0 1 0 0 0 0 0 10 0 1 0
"ASV1102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0
"ASV1103" 0 11 0 1 0 2 1 0 0 0 0 0 0 1 0 0 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1111" 0 0 0 0 0 2 2 0 0 0 4 2 2 0 0 1 2 2 0 0 2 4 8 0 0 2 5 0 0 0 6 2 0 0 5 0
"ASV1117" 3 0 0 0 0 1 1 0 0 0 3 2 2 0 3 1 1 1 0 2 2 2 5 0 0 2 7 0 0 0 8 13 2 0 4 0
"ASV1118" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 0 0 40 0 0 0 0 6 0 4 2 0 0 0 1
"ASV1119" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1120" 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1129" 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1133" 0 0 6 0 0 3 0 18 7 0 0 0 2 0 0 0 0 4 14 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0
"ASV1134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1138" 0 1 4 6 4 0 0 3 6 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 4 0 5
"ASV1148" 0 4 0 0 0 3 0 0 0 0 0 0 1 23 0 0 3 22 1 0 0 2 1 0 12 0 0 0 0 0 0 0 0 0 0 0
"ASV1151" 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 6 0 0 27 0 0 0 0 0 0
"ASV1153" 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 9 0 0 2 0 15 0 0 8 0 0 0 0 12 0 0 0 0
"ASV1155" 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 4 0 0 0
"ASV1164" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 18 0 0 0 0 0 0 0
"ASV1166" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 34 0 0 0 41 1 0 0 0 0 1 0 0 0 0 0 0 0
"ASV1169" 0 1 0 0 0 0 0 1 0 0 4 0 1 0 0 9 11 1 0 0 0 7 3 0 0 1 10 1 0 0 2 0 0 0 0 0
