"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV1148" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Talaromyces_rugulosus" "s__Talaromyces_rugulosus"
"ASV1151" "Fungi" "Ascomycota" "Sordariomycetes" "Diaporthales" "Schizoparmaceae" "Coniella" "Coniella_fragariae" "s__Coniella_fragariae"
"ASV1153" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascales_fam_Incertae_sedis" "Cephalotrichiella" "Cephalotrichiella_penicillata" "s__Cephalotrichiella_penicillata"
"ASV1155" "Fungi" "Ascomycota" "Sordariomycetes" "Glomerellales" "Plectosphaerellaceae" "unclassified" "unclassified" "f__Plectosphaerellaceae"
"ASV1164" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "unclassified" "unclassified" "f__Onygenaceae"
"ASV1166" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Paraphoma" "Paraphoma_fimeti" "s__Paraphoma_fimeti"
"ASV1169" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
"ASV1174" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "unclassified" "unclassified" "f__Microascaceae"
"ASV1179" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "unclassified" "unclassified" "f__Onygenaceae"
"ASV1180" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Pilaira" "Pilaira_anomala" "s__Pilaira_anomala"
"ASV1989" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "unclassified" "unclassified" "unclassified" "o__Tremellales"
"ASV1990" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "unclassified" "unclassified" "unclassified" "o__Eurotiales"
"ASV1992" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1996" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1997" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "unclassified" "unclassified" "f__Herpotrichiellaceae"
"ASV1998" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Tilachlidiaceae" "Tilachlidium" "Tilachlidium_brachiatum" "s__Tilachlidium_brachiatum"
"ASV1999" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Stachybotryaceae" "Alfaria" "Alfaria_caricicola" "s__Alfaria_caricicola"
"ASV2001" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "unclassified" "unclassified" "unclassified" "o__Helotiales"
"ASV2004" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "unclassified" "unclassified" "f__Phaeosphaeriaceae"
"ASV2006" "Fungi" "Ascomycota" "Leotiomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Leotiomycetes"
"ASV2008" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
"ASV2010" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "Acremonium" "Acremonium_sclerotigenum" "s__Acremonium_sclerotigenum"
"ASV2013" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV2015" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2018" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV2021" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV2025" "Fungi" "Basidiomycota" "Tremellomycetes" "Filobasidiales" "Piskurozymaceae" "Solicoccozyma" "Solicoccozyma_terricola" "s__Solicoccozyma_terricola"
"ASV2038" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV2059" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "unclassified" "unclassified" "f__Phaeosphaeriaceae"
"ASV2060" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "unclassified" "unclassified" "f__Trichocomaceae"
"ASV2062" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Hyaloscyphaceae" "Meliniomyces" "Meliniomyces_sp" "s__Meliniomyces_sp"
