"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1138" 0 1 2.5 4 3 0 0 2 4 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 3 0 4
"ASV1148" 0 3 0 0 0 2 0 0 0 0 0 0 1 18 0 0 2.5 15 1 0 0 2 1 0 11 0 0 0 0 0 0 0 0 0 0 0
"ASV1151" 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 6 0 0 21 0 0 0 0 0 0
"ASV1153" 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 7 0 0 2 0 10 0 0 8 0 0 0 0 10 0 0 0 0
"ASV1155" 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.5 0 0 0 3 0 0 0
"ASV1164" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 14 0 0 0 0 0 0 0
"ASV1166" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 26 0 0 0 34 1 0 0 0 0 1 0 0 0 0 0 0 0
"ASV1169" 0 1 0 0 0 0 0 1 0 0 3 0 1 0 0 6 9 1 0 0 0 6 3 0 0 1 10 1 0 0 2 0 0 0 0 0
"ASV1174" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 3 0 12 0 0
"ASV1179" 0 6 0 1 0 0 7 1 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ASV1180" 0 0 3 0 4 0 0 0 2 0 0 0 11 0 0 0 13 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 9 0 0 0
"ASV1989" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1990" 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1992" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 16 0 6 0 6 0
"ASV1996" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 12 0 0 0 0 0 4 0
"ASV1997" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 3 0
"ASV1998" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
"ASV1999" 0 0 0 2 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 8 0 0 0 3 0 0 0 0 0
"ASV2001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0
"ASV2006" 0 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2008" 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"ASV2010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0
"ASV2013" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0
"ASV2015" 0 1 0 0 0 0 4 0 3 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 6 0 0 5 0 0 0 3 0
"ASV2018" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2021" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0
"ASV2025" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 19 0 0 0 0 0 0
"ASV2038" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
"ASV2059" 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2060" 0 0 1 0 1 0 1 0 0 1 0 3 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2062" 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 1 2 1 0 0 0 2 4 0 0 2 4 0 0 0 1 1 0 0 1 0
"ASV2065" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
