"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV728" "Bacteria" "Gemmatimonadota" "BD2-11_terrestrial_group" "BD2-11_terrestrial_group_insertae_sedis_order" "BD2-11_terrestrial_group_insertae_sedis_family" "BD2-11_terrestrial_group_insertae_sedis_genus" "g__BD2-11_terrestrial_group_insertae_sedis_genus"
"ASV730" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV731" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV732" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Acetivibrio" "g__Acetivibrio"
"ASV733" "Bacteria" "Bacillota" "DTU014" "DTU014_insertae_sedis_class" "DTU014_insertae_sedis_family" "DTU014_insertae_sedis_genus" "g__DTU014_insertae_sedis_genus"
"ASV734" "Bacteria" "Bacillota" "Clostridia" "unclassified" "unclassified" "unclassified" "c__Clostridia"
"ASV735" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Streptosporangiaceae" "Thermopolyspora" "g__Thermopolyspora"
"ASV736" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "Microtrichaceae" "Sva0996_marine_group" "g__Sva0996_marine_group"
"ASV737" "Bacteria" "Sumerlaeota" "Sumerlaeia" "Sumerlaeales" "Sumerlaeaceae" "Sumerlaea" "g__Sumerlaea"
"ASV739" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Salinispora" "g__Salinispora"
"ASV741" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Nocardiopsidaceae" "Thermobifida" "g__Thermobifida"
"ASV742" "Bacteria" "Acidobacteriota" "Thermoanaerobaculia" "Thermoanaerobaculales" "Thermoanaerobaculaceae" "Subgroup_10" "g__Subgroup_10"
"ASV744" "Bacteria" "Chloroflexota" "OLB14" "OLB14_insertae_sedis_order" "OLB14_insertae_sedis_family" "OLB14_insertae_sedis_genus" "g__OLB14_insertae_sedis_genus"
"ASV745" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Thermobispora" "g__Thermobispora"
"ASV746" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Planococcaceae" "Lysinibacillus" "g__Lysinibacillus"
"ASV747" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV748" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Pirellula" "g__Pirellula"
